Elemento	Bazformo	Statuso	BRO	Oficiala difino	France	Angle	Germane	Pole	Ruse	Hispane	Itale	Katalune	Portugale
-A	-a	F	BRO1: -a		marque l’adjectif; ex. hom/ homme -- hom/a humain	termination of adjectives; e. g. hom/ man -- hom/a human	bezeichnet das Adjektiv; z. B. hom/ Mensch -- hom/a menschlich	oznacza przymiotnik; np. hom/ cz?owiek -- hom/a ludzki	????????? ??????????????; ????. hom/ ???????? -- hom/a ????????????				
ABEL/	abel/o	F	BRO8: abelo		abeille	bee	Biene	pszczo?a	?????				
ABI/	abi/o	F	BRO7: abio		sapin	fir	Tanne	jod?a	???				
ABOMEN/	abomen/o	F	BRO8: abomeno		abomination	abomination	Abscheu	odraza	??????????				
ABON/	abon/i	F	BRO8: aboni		s’abonner (à) AK	subscribe	abonniren	prenumerowac'	????????????? (?? ??????), ????????????? AK				
ABRIKOT/	abrikot/o	F	BRO9: abrikoto		abricot	apricot	Aprikose	morela	????????				
ABRUPT/	abrupt/a	2OA	BRO9: abrupta		brusque	abrupt	schroff						
ABSOLUT/	absolut/a	F +1OA +7OA	BRO9: absoluta		absolu	absolute	unbeschränkt, absolut	absolutny	??????????				
ABSTIN/	abstin/i	4OA	BRO9: abstini		être abstinent	to abstain	enthaltsam sein, abstinent leben			abstenerse, guardar abstinencia	essere astinente	ésser abstemi	abster-se
ABSURD/	absurd/a	1OA	BRO9: absurda		absurde	absurd	absurd	niedorzeczny	???????				
ABUND/	abund/a	3OA	BRO7: abunda	abund/a. Malmanka.	abondant	abundant	reichlich, in Fülle	obfity		abundante	abbondante		abundante
ACID/	acid/a	F	BRO7: acida		acide, aigre AK	acid, sour AK	sauer	kwas'ny	??????				
AC^/	-ac^-	1OA	BRO9: -ac^-	-ac^-. Sufikso por montri mals^atan, malestiman sencon.									
AC^ET/	ac^et/i	F	BRO3: ac^eti		acheter	buy	kaufen	kupowac'	????????				
AD/	-ad-	F	BRO1: -ado, -adi		marque durée dans l’action; ex. paf/ coup de fusil -- paf/ad/ fusillade	denotes duration of action; e. g. danc/ dance -- danc/ad/ dancing	bezeichnet die Dauer der Thätigkeit; z. B. danc/ der Tanz -- danc/ad/ das Tanzen	oznacza trwanie czynnos'ci; np. ir/ is'c' -- ir/ad/ chodzic'	???????? ????????????????? ???????? ??? ???????????? ???; ????. ir/ ???? -- ir/ad/ ??????, ???????? AK				
ADAPT/	adapt/i	3OA	BRO9: adapti		adapter	to adapt	anpassen, adaptieren	adaptowac' (noto)		adaptar	adattare		adaptar
ADIAU(	adiau(	F	BRO7: adiau(		adieu	adieu, good-bye AK	lebe wohl	ba;dz' zdrów	??????				
ADICI/	adici/i	2OA	BRO8: adicii		additionner	to add up	addieren						
ADJEKTIV/	adjektiv/o	F	BRO8: adjektivo		adjectif	adjective	Eigenschaftswort	przymiotnik	??? ??????????????				
ADMINISTR/	administr/i	F	BRO8: administri		admininistrer	administer	verwalten	zarza;dzac'	?????????				
ADMIR/	admir/i	F	BRO8: admiri		admirer	admire	bewundern	podziwiac'	????????, ??????????, ??????????? AK				
ADMON/	admon/i	F	BRO8: admoni		engager, exhorter AK	exhort	ermahnen	upominac'	?????????				
ADOPT/	adopt/i	1OA	BRO8: adopti		adopter	adopt	adoptieren	adoptowac'	??????????				
ADOR/	ador/i	F	BRO9: adori		adorer	adore	anbeten	uwielbiac'	???????				
ADRES/	adres/o	F +1OA +8OA	BRO5: adreso		adresse (de lettre)	address	Adresse	adres	??????				
ADVERB/	adverb/o	F	BRO9: adverbo		adverbe	adverb	Unstandswort AK	przys?ówek	???????				
ADVOKAT/	advokat/o	1OA	BRO8: advokato		avocat	counsel, advocate	Advokat	adwokat	????????				
AER/	aer/o	F	BRO4: aero		air	air	Luft	powietrze	???????				
AFABL/	afabl/a	F	BRO3: afabla		affable, aimable AK	affable	freundlich	uprzejmy	???????????, ???????? AK				
AFER/	afer/o	F	BRO2: afero		affaire (en général), chose AK	affair	Sache, Angelegenheit	sprawa; rzecz AK	????				
AFIS^/	afis^/o	1OA	BRO8: afis^o		affiche	poster, placard	Anschlag (an Säule)	afisz	?????				
AFLIKT/	aflikt/i	3OA	BRO9: aflikti		affliger	to distress, grieve, afflict	betrüben, quälen			afligir	affliggere		afligir
AFRANK/	afrank/i	1OA	BRO8: afranki		affranchir	pay the postage	frankieren	frankowac'	????????????				
AFRIK/	Afrik/o	8OA	BRO9: Afriko	Afrik/o. La kontinento sude de Eu(ropo.	Afrique	Africa	Afrika			África (noto)	Africa		Africa
AG/	ag/i	F	BRO5: agi		agir	act	handeln, verfahren	poste;powac'	?????????				
AGENT/	agent/o	1OA	BRO9: agento		agent	agent	Agent	ajent	??????				
AGIT/ (fig.)	agit/i	2OA	BRO9: agiti										
AGL/	agl/o	F	BRO7: aglo		aigle	eagle	Adler	orze?	?????				
AGORD/	agord/o	F	BRO7: agordo		accorder, mettre au diapason (musique) AK	tune (vb.) AK	stimmen	nastrajac'	???????????				
AGRABL/	agrabl/a	F	BRO4: agrabla		agreable	agreeable	angenehm	przyjemny	????????				
AG^/	ag^/o	F	BRO4: ag^o		âge	age	Alter	wiek	??????? AK				
AJL/	ajl/o	F	BRO9: ajlo		ail	garlic AK	Knoblauch	czosnek	???????				
AJN	ajn	F	BRO1: ajn		que ce soit; ex. kiu qui -- kiu ajn qui que ce soit	ever; e.g. kiu who -- kiu ajn whoever	ajn (kiu...) auch nur, auch immer (wer...) AK	kolwiek, ba;dz'; np. kiu kto -- kiu ajn ktokolwiek, ktoba;dz'	?? ??; ????. kiu ??? -- kiu ajn ??? ?? ??				
AJ^/	-aj^-	F	BRO1: -aj^o		quelque chose possédant une certaine qualité ou fait d’une certaine matière: ex. mol/ mou -- mol/aj^/ partie molle d’une chose	made from or possessing the quality of; e. g. sek/ dry -- sek/aj^/ dry goods	etwas von einer gewissen Eigenschaft, oder aus einem gewissen Stoffe; z. B. mal/nov/ alt -- mal/nov/aj^/ altes Zeug, frukt/ Frucht -- frukt/aj^/ etwas aus Früchten bereitetes	oznacza przedmiot posiadajacy pewna; w?asnos'c' albo zrobiony z pewnego materja?u; np. mal/nov/ stary -- mal/nov/aj^/ starzyzna; frukt/ owoc -- frukt/aj^/ cos' zrobionego z owoców	????? ?? ?????? ?????????? ??? ??? ??????? ?????????; ???. mol/ ?????? -- mol/aj^/ ??????; frukt/ ????? -- frukt/aj^/ ????? ?????????????? ??? ???????				
AKADEMI/	akademi/o	1OA	BRO9: akademio		académie	academy	Akademie	akademja	????????				
AKCEL/	akcel/i	F	BRO8: akceli		accélérer, hâter AK	accelerate	fördern	popierac', przyspieszac'	????????????????				
AKCENT/	akcent/o	F	BRO9: akcento		accent	accent (tonic) AK	Accent	akcent	????????				
AKCEPT/	akcept/i	F	BRO4: akcepti		accepter, accueillir AK	accept	annehmen	przyjmowac'	?????????				
AKCI/	akci/o	1OA	BRO9: akcio		action (finance)	share	Aktie	akcja (papier)	?????				
AKCIDENT/	akcident/o	2OA	BRO7: akcidento		accident	accident	Zufall, Unfall						
AKIR/	akir/i	F	BRO6: akiri		acquérir	acquire	erwerben	uzyskac', zdobyc' AK	???????????				
AKN/	akn/o	F	BRO9: akno		acné, bouton AK	pimple	Finne	we;gry, krosty	????? (????)				
AKOMPAN/	akompan/i	F	BRO6: akompani		accompagner	accompany	begleiten	towarzyszyc'	????????????, ?????????????? AK				
AKORD/	akord/o	1OA	BRO9: akordo		accord (mus., gram., etc.)	accord	Akkord	akord	??????? (???.), ???????????? (?????.)				
AKR/	akr/a	F	BRO6: akra		aigre, piquant, vif, perçant, tranchant AK	sharp	scharf	ostry	??????				
AKRID/	akrid/o	F	BRO9: akrido		sauterelle	grass-hopper	Heuschrecke	szaran'cza	???????				
AKS/	aks/o	F	BRO9: akso		axe	axle	Achse	os'	???				
AKT/	akt/o	1OA	BRO9: akto		acte (théâtre, document)	act, deed	Akt (der), Akte (die)	akt	????				
AKTIV/	aktiv/a	F +1OA +7OA	BRO9: aktiva		actif (gram.)	active	aktiv, tätig	czynny	????????				
AKTOR/	aktor/o	1OA	BRO9: aktoro		acteur	actor	Schauspieler	aktor	??????				
AKTUAL/	aktual/a	4OA	BRO9: aktuala		actuel	present, of present interest	zeitgemäss			actual	attuale, di attualita?	actual	actual
AKURAT/	akurat/a	1OA	BRO8: akurata		ponctuel	punctual	pünktlich	akuratny, punktualny	??????????				
AKUZ/	akuz/i	3OA	BRO9: akuzi		accuser	to accuse	anklagen, beschuldigen	oskarz.ac' (noto)		acusar	accusare		accusar
AKV/	akv/o	F	BRO3: akvo		eau	water	Wasser	woda	????				
AL	al	F	BRO1: al		à, vers AK	to	zu (ersetzt zugleich den Dativ)	do (zaste;puje tez. celownik)	?? (????????? ????? ????????? ??????)				
ALARM/	alarm/o	1OA	BRO9: alarmo		alarmer	alarm	alarmieren	alarmowac'	???? ???????				
ALAU(D/	alau(d/o	F	BRO9: alau(do		alouette	lark	Lerche	skowronek	??????????				
ALBUM/	album/o	1OA	BRO8: albumo		album	album	Album	album	???????				
ALE/	ale/o	1OA	BRO9: aleo		allée	alley	Allee	aleja	?????				
ALFABET/	alfabet/o	F +1OA +7OA	BRO9: alfabeto		alphabet	alphabet	Alphabet	alfabet	????????				
ALG/	alg/o	2OA	BRO9: algo										
ALI/	ali/a	F	BRO2: alia		autre	other	ander	inny	????				
ALKOHOL/	alkohol/o	1OA	BRO8: alkoholo		alcool	alcohol	Alkohol	alkohol	????????				
ALMENAU(	almenau(	F	BRO1: almenau(		au moins, du moins AK	at least	wenigstens	przynajmniej	?? ??????? ????				
ALMOZ/	almoz/o	F	BRO8: almozo		aumône	alms	Almosen	ja?muz.na	?????????				
ALT/	alt/a	F	BRO2: alta		haut	high	hoch	wysoki	???????				
ALTERN/	altern/i	F	BRO9: alterni		alterner	alternate	untereinander abwechseln	zmianiac' sie; kolejno	????????????				
ALUD/	alud/i	F	BRO9: aludi		faire allusion	allude	anspielen	napomkna;c' AK	????????				
ALUMET/	alumet/o	F	BRO7: alumeto		allumette	match	Zündhölzchen	zapa?ka	??????				
ALUMINI/	alumini/o	4OA	BRO9: aluminio		aluminium	aluminium	Aluminium			aluminio	alluminio	alumini	aluminio
AM/	am/i	F	BRO2: ami		aimer	love	lieben	kochac', lubic'	??????				
AMAR/	amar/a	4OA	BRO9: amara		amer	bitter	bitter			amargo	amaro	amargant	amargo
AMAS/	amas/o	F	BRO4: amaso		amas, foule	crowd, mass	Haufen, Menge	kupa, t?um	????, ?????				
AMATOR/	amator/o	8OA	BRO9: amatoro	amator/o. Neprofesiulo, kiu amas kaj praktikas ian aktivecon sportan, artan, sciencan...	amateur	amateur	Liebhaber (einer Sache)			aficionado, (amateur)	amatore, cultore		amador, curioso
AMBASAD/	ambasad/o	8OA	BRO9: ambasado	ambasad/o. Ambasadoro kun ties sekvantaro, konsilantaro ktp.	ambassade	embassy	Botschaft (diplomatisches Amt)			embajada	ambasciata		embaixada
AMBASADOR/	ambasador/o	1OA	BRO9: ambasadoro		ambassadeur	ambassador	Gesandter	ambasador	??????????				
AMBAU(	ambau(	F	BRO1: ambau(		l’un et l’autre, tous deux AK	both	beide	obaj	???				
AMERIK/	Amerik/o	8OA	BRO9: Ameriko	Amerik/o. La kontinento inter Atlantiko kaj Pacifiko, konsistanta el tri partoj: Norda, Centra kaj Suda Amerikoj.	Amérique	America	Amerika			América	America		America
AMIK/	amik/o	F	BRO2: amiko		ami	friend	Freund	przyjaciel	????				
AMPLEKS/	ampleks/o	F	BRO8: amplekso		dimension, étendue AK	extent, size AK	Grösse, Umfang AK	obje;tos'c'	??????				
AMPOL/	ampol/o	8OA	BRO9: ampolo	ampol/o. Eta vazo, ordinare el vitro, uzata interalie a) en kemia laboratorio, b) por hermete enteni medikamentojn, c) por envakue enteni la filamentojn de elektra lampo.	ampoule, fiole	phial, ampoule, bulb	Phiole, Kolben (chem. Glasgefäss), Ampulle, Glühbirne			ampolla, bombilla, pipeta, redoma	ampolla, fiala, fialetta, bulbo		ampola
AMUZ/	amuz/i	F	BRO5: amuzi		amuser	amuse	belustigen	bawic'	?????????				
AN/	-an-	F	BRO1: -ano		membre, habitant, partisan; ex. regn/ l’état -- regn/an/ citoyen	inhabitant, member; e. g. Nov-Jork New York -- Nov-Jork/an/ New Yorker	Mitglied, Einwohner, Anhänger; z. B. regn/ Staat -- regn/an/ Bürger; Varsovi/an/ Warschauer	cz?onek, mieszkaniec, zwolennik; np. regn/ pan'stwo -- regn/an/ obywatel; Varsovi/an/ Warszawianin	?????, ??????, ???????????; ????. regn/ ??????????? -- regn/an/ ??????????; Varsovi/an/ ???????????				
ANAS/	anas/o	F	BRO8: anaso		canard	duck	Ente	kaczka	????				
ANEKDOT/	anekdot/o	1OA	BRO9: anekdoto		anecdote	anecdote	Anekdote	anegdota	????????				
ANGIL/	angil/o	F	BRO9: angilo		anguille	eel	Aal	we;gorz	????? (????????)				
ANGUL/	angul/o	F	BRO4: angulo		angle, coin AK	corner, angle	Winkel, Ecke AK	ka;t	?????				
ANG^EL/	ang^el/o	F	BRO8: ang^elo		ange	angel	Engel	anio?	??????				
ANIM/	anim/o	F	BRO5: animo		âme	soul	Seele	dusza	????				
ANIMAL/	animal/o	8OA	BRO8: animalo	animal/o. Komuna vorto por bestoj kaj homoj, opone al vegetaloj kaj mineraloj.	animal	animal (as opposed to vegetable or mineral)	Lebewesen			animal	animale		animal
ANKAU(	ankau(	F	BRO1: ankau(		aussi, encore AK	also	auch	takz.e	?????				
ANKORAU(	ankorau(	F	BRO1: ankorau(		encore, jusqu’à présent AK	yet, still	noch	jeszcze	???				
ANONC/	anonc/i	F	BRO6: anonci		faire une annonce AK	announce, advertize AK	anzeigen, ankündigen AK	og?aszac'	?????????				
ANSER/	anser/o	F	BRO9: ansero		oie	goose	Gans	ge;s'	????				
ANSTATAU(	anstatau(	F	BRO1: anstatau(		au lieu de	instead	anstatt, statt	zamiast	??????				
ANT/	-ant-	F	BRO1: -ant-		marque le participe présent actif	ending of pres. part. act. in verbs	bezeichnet das Participium pres. act.	oznacza imies?ów czynny czasu teraz'niejszego	????????? ????????? ?????????? ??????? ?????. ??????				
ANTAU(	antau(	F	BRO1: antau(		devant, avant AK	before	vor	przed	?????				
APARAT/	aparat/o	1OA	BRO7: aparato		appareil	apparatus	Apparat	aparat	????????				
APART/	apart/a	F	BRO4: aparta		particulier, séparé, spécial AK	separate, special AK	besonder, abgesondert	osobny	??????				
APARTAMENT/	apartament/o	3OA	BRO8: apartamento		appartement	apartments	Appartement	apartament		apartamiento	appartamento		aposento
APARTEN/	aparten/i	F	BRO6: aparteni		appartenir	belong	gehören	nalez.ec' (do kogo) AK	????????????				
APENAU(	apenau(	F	BRO1: apenau(		à peine	scarcely	kaum	ledwie	????				
APER/	aper/i	F	BRO4: aperi		paraître, apparaître	appear	erscheinen	zjawiac' sie;	????????				
APERTUR/	apertur/o	6OA	BRO9: aperturo	apertur/o. Malfermaj^o.	ouverture	aperture	Oeffnung (z. B. Loch, Spalte u. ä.)	apertura		abertura (noto)	apertura		
APETIT/	apetit/o	1OA	BRO8: apetito		appétit	appetite	Appetit	apetyt	???????				
APLAU(D/	aplau(d/i	F	BRO9: aplau(di		applaudir	applaud	Beifall spenden AK	oklaskiwac'	??????? ? ??????, ???????????? AK				
APLIK/	aplik/i	3OA	BRO9: apliki		appliquer	to apply	anwenden	zastosowac' (noto)		aplicar	applicare		applicar
APOG/	apog/i	F	BRO6: apogi		appuyer	lean upon, support (trans.) AK	anlehnen, stützen AK	opierac' (o co) AK	???????				
APOSTOL/	apostol/o	1OA	BRO9: apostolo		apôtre	apostle	Apostel	aposto?	????????				
APOTEK/	apotek/o	1OA	BRO8: apoteko		pharmacie	drug-store	Apotheke	apteka	??????				
APR/	apr/o	F	BRO9: apro		sanglier	wild boar	Eber	dzik AK	?????, ????? AK				
APRIL/	April/o	F	BRO5: Aprilo		Avril	April	April	Kwiecien'	??????				
APROB/	aprob/i	F	BRO6: aprobi		approuver	approve	billigen, gut heissen	aprobowac'	????????				
APUD	apud	F	BRO1: apud		auprès de	near by	neben, an, bei AK	przy, obok	?????, ?????, ????? AK				
AR/	-ar-	F	BRO1: -aro		une réunion de certains objets; ex. arb/ arbre -- arb/ar/ forêt	a collection of objects; e. g. vort/ word -- vort/ar/ dictionary	Sammlung gewisser Gegenstände; z. B. arb/ Baum -- arb/ar/ Wald; s^tup/ Stufe -- s^tup/ar/ Treppe, Leiter	oznacza zbiór danych przedmiotów; np. arb/ drzewo -- arb/ar/ las; s^tup/ szczebel, stopien' -- s^tup/ar/ drabina, schody	???????? ??????? ??????????; ????. arb/ ?????? -- arb/ar/ ????, s^tup/ ??????? -- s^tup/ar/ ????????				
ARANE/	arane/o	F	BRO8: araneo		araignée	spider	Spinne	paja;k	?????				
ARANG^/	arang^/i	F	BRO5: arang^i		arranger	arrange	einrichten	urza;dzac'	??????????				
ARB/	arb/o	F	BRO3: arbo		arbre	tree	Baum	drzewo	??????				
ARBITR/	arbitr/a	F	BRO9: arbitra		arbitraire	arbitrary	willkürlich	samowolny	????????????				
ARD/	ard/a	3OA	BRO8: arda		être ardent	to be ardent, to glow	glühen	pa?ac' (noto)		arder	essere ardente		arder
ARG^ENT/	arg^ent/o	F	BRO5: arg^ento		argent (métal)	silver	Silber	srebro	???????				
ARK/	ark/o	F	BRO8: arko		arc	arch, bow	Bogen	?uk	????				
ARME/	arme/o	1OA	BRO7: armeo		armée	army	Armee	armja	?????				
ART/	art/o	F	BRO3: arto		art	art	Kunst	sztuka, kunszt	?????????				
ARTERI/	arteri/o	2OA	BRO9: arterio										
ARTIK/	artik/o	F	BRO9: artiko		articulation	joint	Gelenk	staw (anat.) AK	???????				
ARTIKOL/	artikol/o	F	BRO7: artikolo		article (litt., gram.) AK	article	Artikel	artyku?	??????, ?????				
-AS	-as	F	BRO1: -as		marque le présent d’un verbe	ending of the present tense in verbs	bezeichnet das Präsens	oznacza czas teraz'niejszy	????????? ????????? ????? ???????				
ASEKUR/	asekur/i	F	BRO8: asekuri		assurer (par contrat) AK	insure	versichern AK	asekurowac'	??????????				
ASEMBLE/	asemble/o	8OA	BRO9: asembleo	asemble/o. Interkonsilig^a au( leg^odona instanco au( organo de iu organizaj^o, kontraste al la ekzekutiva responda instanco.	assemblée	assembly	Versammlung			asamblea	assemblea		assembléia
ASERT/	asert/i	1OA	BRO9: aserti		assurer, affirmer	assert	versichern, behaupten	twierdzic'	??????????				
ASFALT/	asfalt/o	1OA	BRO9: asfalto		asphalte	asphalt	Asphalt	asfalt	????????				
ASIST/	asist/i	8OA	BRO9: asisti	asist/i. Pro devo au( profesio helpi en fake difinita maniero: "asisti kirurgon c^e operacio"; "sociala asistantino en fabriko".	assister, servir d’assistant	to assist (officially), to be in attendance (as experts or advisers), to support, to take part in	beistehen, assistieren			asistir, servir de asistente	assistere, essere assistente		assistir, auxiliar
ASOCI/	asoci/o	1OA	BRO8: asocio		association	association	Association	stowarzyszenie	??????????				
ASPEKT/	aspekt/i	1OA	BRO7: aspekti		aspect	aspect	Anblick, Aussehen	wygla;d	??????????				
AT/	-at-	F	BRO1: -at-		marque le participe présent passif	ending of pres. part. pass. in verbs	bezeichnet das Participium praes. passivi	oznacza imies?ów bierny czasu teraz'niejszego	????????? ????????? ?????????? ??????? ???????. ??????				
ATAK/	atak/i	F	BRO6: ataki		attaquer	attack	angreifen	napadac', atakowac'	????????				
ATEND/	atend/i	F	BRO3: atendi		attendre	wait, expect	warten, erwarten	czekac'	?????, ???????				
ATENT/	atent/a	F	BRO4: atenta		attentif	attentive	aufmerksam	uwaz.ny	????????????				
ATEST/	atest/i	F	BRO8: atesti		témoigner	attest, testify (certify) AK	zeugen, bezeugen, bescheinigen	s'wiadczyc'	?????????????????				
ATING/	ating/i	F	BRO5: atingi		atteindre	attain, reach	erlangen, erreichen	dosie;gac'	?????????				
ATLANTIK/	Atlantik/o	8OA	BRO9: Atlantiko	Atlantik/o. La oceano inter Eu(ropo kaj Ameriko.	l’Atlantique	Atlantic	Atlantik, Atlantischer Ozean			Atlántico	Atlantico		Atlântico
ATOM/	atom/o	1OA	BRO9: atomo		atome	atom	Atom	atom	?????				
AU(	au(	F	BRO1: au(		ou	or	oder	albo, lub	???				
AU(D/	au(d/i	F	BRO3: au(di		entendre	hear	hören	s?yszec'	???????				
AU(DAC/	au(dac/a	8OA	BRO9: au(daca	au(dac/a. Riskema fari ion malgrau( la dang^eroj au( malhelpoj.	audacieux	audacious, bold, daring	kühn, verwegen			audaz, atrevido	audace		audaz
AU(GUST/	Au(gust/o	F +7OA	BRO5: Au(gusto		Août	August	August	Sierpien'	???????				
AU(SKULT/	au(skult/i	F	BRO4: au(skulti		écouter	listen	anhören, horchen	s?uchac'	???????				
AU(STRALI/	Au(strali/o	8OA	BRO9: Au(stralio	Au(strali/o. La kontinento de la suda hemisfero okcidente de Pacifiko.	Australie	Australia	Australien			Australia	Australia		Austrália
AU(T/	au(t/o	8OA	BRO8: au(to	au(t/o. Mallongigo de: au(tomobilo.	auto	car, automobile; (US) auto	Kraftwagen, Auto			auto	auto		auto(móvel)
AU(TOBUS/	au(tobus/o	8OA	BRO7: au(tobuso	au(tobus/o. Granda publika au(tomobila veturilo, kiu transportas pasag^erojn de stacio al aliaj lau( difinitaj linioj.	autobus	motor-bus, bus	Autobus, Bus			autobús	autobus		auto-ônibus
AU(TOMAT/	au(tomat/o	1OA	BRO7: au(tomato		automate	automaton	Automat	automat	????????				
AU(TOMOBIL/	au(tomobil/o	1OA	BRO8: au(tomobilo		automobile	motor-car	Automobil	automobil	??????????				
AU(TOR/	au(tor/o	F +1OA +7OA	BRO9: au(toro		auteur	author	Autor, Urheber	autor	??????				
AU(TORITAT/	au(toritat/o	F +1OA +7OA	BRO8: au(toritato		autorité	authority	Autorität	autorytet	??????????				
AU(TUN/	au(tun/o	F	BRO4: au(tuno		automne	autumn, fall AK	Herbst	jesien'	?????				
AV/	av/o	F	BRO4: avo		grand-père	grandfather	Grossvater	dziadek AK	????, ???????				
AVANTAG^/	avantag^/o	8OA	BRO9: avantag^o	avantag^/o. Tio, kio donas ian superecon, pli grandan profiton, au( enhavas pli grandan utilon, oportunon.	avantage	advantage	Vorteil, Vorzug			ventaja	vantaggio		vantagem
AVAR/	avar/a	F	BRO6: avara		avare	covetous	geizig	ska;py	??????				
AVEN/	aven/o	F	BRO9: aveno		avoine	oats	Hafer	owies	?????				
AVENTUR/	aventur/o	F	BRO7: aventuro		aventure	adventure	Abenteuer	przygoda	???????????				
AVENU/	avenu/o	8OA	BRO8: avenuo	avenu/o. Larg^a strato, ambau(flanke borderita per arboj, ofte kun perspektivo al monumento au( pejzag^o.	avenue	avenue	Anfahrt, (breite bepflanzte) Strasse, (Avenue)			avenida	viale		avenida
AVERT/	avert/i	F	BRO6: averti		avertir, prévenir, détourner AK	warn	warnen	przestrzegac'	??????????????				
AVID/	avid/a	F	BRO8: avida		avide AK	greedy, eager AK	gierig	chciwy	??????				
AZEN/	azen/o	F	BRO5: azeno		âne	ass	Esel	osio?	?????				
AZI/	Azi/o	8OA	BRO9: Azio	Azi/o. La nordhemisfera kontinento, kiu okcidente limas Eu(ropon kaj Afrikon.	Asie	Asia	Asien			Asia	Asia		Asia
BABIL/	babil/i	F	BRO7: babili		babiller	chatter	schwatzen, plaudern	paplac', gawe;dzic' AK	???????				
BACIL/	bacil/o	2OA	BRO9: bacilo										
BAGATEL/	bagatel/o	F	BRO9: bagatelo		bagatelle	trifle, toy	Kleinigkeit	drobnostka	??????, ????????? AK				
BAK/	bak/i	F	BRO8: baki		(faire) cuire (au four) AK	bake	backen	piec, wypiekac'	????, ????????				
BAKTERI/	bakteri/o	2OA	BRO9: bakterio										
BAL/	bal/o	F +1OA +7OA	BRO9: balo		bal	ball, dancing	Ball (Tanz)	bal	????				
BALA/	bala/i	F	BRO6: balai		balayer	sweep (vb.) AK	fegen	zamiatac'	?????, ????????				
BALANC/	balanc/i	F	BRO8: balanci		balancer	balance, swing	schaukeln	hus'tac', ko?ysac'	??????				
BALBUT/	balbut/i	F	BRO9: balbuti		bégayer, balbutier	stammer	stottern, stammeln	ja;kac' sie;	?????????				
BALDAU(	baldau(	F	BRO1: baldau(		bientôt	soon	bald	wkrótce AK	??????, ????? AK				
BALON/	balon/o	2OA	BRO7: balono										
BALOT/	balot/i	2OA	BRO9: baloti		voter	to ballot	ballotieren						
BAMBU/	bambu/o	F	BRO9: bambuo		bambou	bamboo	Bambus	bambus	???????				
BAN/	ban/i	F	BRO5: bani		baigner (trans.) AK	bath	baden	ka;pac'	??????				
BANAN/	banan/o	2OA	BRO9: banano										
BANDAG^/	bandag^/o	2OA	BRO9: bandag^o										
BANK/	bank/o	1OA	BRO7: banko		banque	bank	Bank (Geld-)	bank	?????				
BANT/	bant/o	F	BRO9: banto		nœud (de ruban) AK	knot (of ribbon, etc.) AK	Bandschleife AK	pe;tlica	?????				
BAPT/	bapt/i	F	BRO9: bapti		baptiser	baptise	taufen	chrzcic'	????????				
BAR/	bar/o	F	BRO6: baro		barrer	bar, obstruct	versperren	zagradzac'	??????????				
BARAKT/	barakt/i	F	BRO8: barakti		gigoter, se débattre AK	throw oneself about, struggle AK	zappeln	szamotac' sie; AK	???????????				
BARB/	barb/o	F	BRO6: barbo		barbe	beard	Bart	broda	??????				
BARBIR/	barbir/o	F	BRO9: barbiro		barbier	barber	Barbier	balwierz AK	?????????, ?????????? AK				
BAREL/	barel/o	F	BRO8: barelo		tonneau	keg, barrel	Fass, Tonne	beczka	?????				
BARK/	bark/o	F	BRO9: barko		barque	bark (ship) AK	Barke	barka	?????				
BASK/	bask/o	F	BRO9: basko		basque (d’habit), pan AK	basque (of bodice, coat, etc.) AK	Schoss, Rockschoss	po?a	????				
BASTON/	baston/o	F	BRO6: bastono		bâton	stick	Stock	kij, laska	?????				
BAT/	bat/i	F	BRO3: bati		battre	beat	schlagen	bic'	????				
BATAL/	batal/i	F	BRO4: batali		combattre	fight	kämpfen	walczyc'	????????, ????????? AK				
BAZ/	baz/o	1OA	BRO8: bazo		base	basis, base	Base (arch., chem)	podstawa	?????????, ????				
BAZAR/	bazar/o	F	BRO8: bazaro		bazar, marché AK	bazar AK	Markt, Basar AK	targ, rynek	??????				
BEB/	beb/o	8OA	BRO8: bebo	beb/o. Tre juna infano.	bébé	baby	Saügling, Kleinkind, Baby			bebé, “baby”	bimbo, bimbetto, (“bebè”)		bebê
BEDAU(R/	bedau(r/i	F	BRO6: bedau(ri		regretter	regret, be sorry AK	bedauern	z.a?owac'	??????				
BEK/	bek/o	F	BRO6: beko		bec	beak	Schnabel	dziób	?????				
BEL/	bel/a	F	BRO2: bela		beau	beautiful	schön AK	pie;kny	????????				
BEN/	ben/i	F	BRO8: beni		bénir	bless	segnen	b?ogos?awic'	?????????????				
BEND/	bend/o	8OA	BRO9: bendo	bend/o. Mallarg^a kaj longa peco el ia maldika materio.	bande (d’étoffe, ...)	tape, band	Binde, Band, Streifen			tira, venda, banda	fascia, benda, banda, nastro		tira, fita, faixa
BENK/	benk/o	F	BRO5: benko		banc	bench	Bank (zum Sitzen)	?awka	??????				
BENZIN/	benzin/o	1OA	BRO8: benzino		benzine	benzine	Benzin	benzyna	???????				
BER/	ber/o	F	BRO7: bero		baie (bot.) AK	berry	Beere	jagoda	?????				
BEST/	best/o	F	BRO4: besto		animal, bête AK	animal, beast AK	Thier	zwierze;	????????				
BET/	bet/o	F	BRO9: beto		betterave	red beet	Runkelrübe	burak AK	??????????				
BETUL/	betul/o	F	BRO8: betulo		bouleau	birch (tree)	Birke	brzoza	??????				
BEZON/	bezon/i	F	BRO3: bezoni		avoir besoin de	need, want	brauchen	potrzebowac'	?????????				
